id,age,level,height,weight,waist,hip,income,bmi
474,60,1,154,70,98,99,1,30
475,67,1,142,62,100,97,2,31
476,66,1,166,62,83,96,2,23
477,58,1,153,50,88,92,1,21
478,51,1,150,52,86,90,1,23
479,47,2,165,84,103,100,3,31
480,53,1,154,54,76,88,1,23
481,56,2,166,54,78,88,1,20
482,40,4,171,72,91,100,4,25
483,63,1,167,58,79,91,2,21
484,69,1,143,59,101,99,2,29
485,43,1,150,48,72,87,2,21
486,45,1,157,75,97,99,2,30
487,58,1,140,39,67,77,1,20
488,62,1,159,70,104,95,1,28
489,54,1,154,55,79,90,2,23
490,58,3,167,68,86,95,2,25
491,55,2,163,55,87,92,2,21
492,44,3,169,85,95,101,3,30
493,40,1,164,65,84,98,4,24
494,64,1,143,61,98,101,1,30
495,69,1,147,47,74,84,1,22
496,49,5,172,69,86,96,3,23
497,66,1,157,72,99,103,1,29
498,65,1,164,66,89,96,1,25
499,59,1,155,52,87,89,2,22
500,57,2,161,70,91,97,2,27
501,54,1,161,61,92,95,1,24
502,63,1,161,64,88,87,2,25
503,54,1,157,81,110,100,2,33
504,55,3,172,84,92,107,3,29
505,43,2,156,62,78,91,3,26
506,56,5,165,63,81,88,5,23
507,65,1,150,56,92,94,1,25
508,65,3,156,57,81,87,2,23
509,61,3,150,49,86,89,2,22
510,61,3,163,61,81,92,1,23
511,55,1,146,61,96,99,1,28
512,57,2,170,77,92,100,5,27
513,48,1,156,65,94,104,1,27
514,57,3,170,52,71,86,5,18
515,68,1,146,50,81,88,1,24
516,60,2,156,56,86,90,4,23
517,56,2,150,57,95,96,3,25
518,68,1,170,60,80,90,1,21
519,65,1,159,46,73,82,2,18
520,59,1,147,55,84,92,2,25
521,52,1,155,66,98,101,3,28
522,40,5,179,72,86,98,6,22
523,56,1,155,63,90,96,1,26
524,57,2,155,53,80,92,1,22
525,60,2,169,59,78,91,5,21
526,55,2,151,52,79,88,5,23
527,41,3,169,70,88,98,2,24
528,49,3,173,62,85,94,3,21
529,56,6,167,70,85,95,6,25
530,65,1,159,56,77,90,1,22
531,68,1,159,50,76,84,1,20
532,66,1,140,56,96,96,1,29
533,48,1,169,75,93,95,2,26
534,46,1,160,64,86,96,2,25
535,68,1,149,54,94,95,2,24
536,41,3,168,68,79,88,2,24
537,50,1,153,67,104,108,2,29
538,49,1,160,60,87,95,1,24
539,67,1,153,49,79,90,1,21
540,68,1,144,44,81,91,1,21
541,59,1,160,65,89,95,1,25
542,50,1,148,55,90,91,2,25
543,69,1,157,61,95,99,1,25
544,68,1,163,53,75,90,2,20
545,62,1,147,55,94,95,2,26
546,69,1,157,58,86,95,2,24
547,63,1,157,60,88,99,2,24
548,69,1,153,73,105,109,8,31
549,58,1,149,43,80,84,4,19
550,65,1,165,51,72,87,1,19
551,61,1,157,70,92,96,1,29
552,56,3,149,49,77,89,1,22
553,47,1,158,62,81,96,2,25
554,53,1,149,55,91,93,4,24
555,47,2,155,61,96,97,2,25
556,52,1,168,63,89,94,3,22
557,44,2,175,67,86,97,2,22
558,41,2,157,62,83,94,7,25
559,62,2,160,55,80,90,1,22
560,68,1,147,47,78,88,4,22
561,46,2,164,70,93,100,3,26
562,46,3,170,62,83,93,2,23
563,49,1,147,62,91,99,3,29
564,61,3,162,67,82,101,1,26
565,57,1,156,72,101,103,2,28
566,59,1,147,38,68,79,2,17
567,62,1,165,51,70,82,2,19
568,59,1,154,58,84,93,1,25
569,62,2,171,74,93,100,1,26
570,57,2,170,88,107,110,2,31
571,50,2,154,73,101,108,2,31
572,43,2,169,59,74,91,2,21
573,42,2,154,57,82,92,1,24
574,43,5,168,76,93,105,7,27
575,43,6,153,59,79,96,5,25
576,60,1,161,55,76,89,1,21
577,62,1,152,59,92,97,2,26
578,57,2,168,74,93,100,2,26
579,57,1,157,52,75,87,1,21
580,67,1,146,46,78,93,3,21
581,68,1,167,73,99,99,4,26
582,68,1,153,62,87,94,1,26
583,56,1,150,57,86,94,1,25
584,45,2,175,84,98,105,2,27
585,53,5,166,62,79,92,7,23
586,57,2,167,64,82,92,3,23
587,55,3,154,58,85,92,4,24
